url,type
http://fake1.com,phishing
http://fake2.com,phishing
http://phishing3.com,phishing
http://phishing4.com,phishing
http://phishing5.com,phishing
http://phishing6.com,phishing
http://phishing7.com,phishing
http://phishing8.com,phishing
http://phishing9.com,phishing
http://phishing10.com,phishing
http://phishing11.com,phishing
http://phishing12.com,phishing
http://phishing13.com,phishing
http://phishing14.com,phishing
http://phishing15.com,phishing
http://phishing16.com,phishing
http://phishing17.com,phishing
http://phishing18.com,phishing
http://phishing19.com,phishing
http://phishing20.com,phishing
http://phishing21.com,phishing
http://phishing22.com,phishing
http://phishing23.com,phishing
http://phishing24.com,phishing
http://phishing25.com,phishing
http://phishing26.com,phishing
http://phishing27.com,phishing
http://phishing28.com,phishing
http://phishing29.com,phishing
http://phishing30.com,phishing
http://phishing31.com,phishing
http://phishing32.com,phishing
http://phishing33.com,phishing
http://phishing34.com,phishing
http://phishing35.com,phishing
http://phishing36.com,phishing
http://phishing37.com,phishing
http://phishing38.com,phishing
http://phishing39.com,phishing
http://phishing40.com,phishing
http://phishing41.com,phishing
http://phishing42.com,phishing
http://phishing43.com,phishing
http://phishing44.com,phishing
http://phishing45.com,phishing
http://phishing46.com,phishing
http://phishing47.com,phishing
http://phishing48.com,phishing
http://phishing49.com,phishing
http://phishing50.com,phishing
http://phishing51.com,phishing
http://phishing52.com,phishing
http://phishing53.com,phishing
http://phishing54.com,phishing
http://phishing55.com,phishing
http://phishing56.com,phishing
http://phishing57.com,phishing
http://phishing58.com,phishing
http://phishing59.com,phishing
http://phishing60.com,phishing
http://phishing61.com,phishing
http://phishing62.com,phishing
http://phishing63.com,phishing
http://phishing64.com,phishing
http://phishing65.com,phishing
http://phishing66.com,phishing
http://phishing67.com,phishing
http://phishing68.com,phishing
http://phishing69.com,phishing
http://phishing70.com,phishing
http://phishing71.com,phishing
http://phishing72.com,phishing
http://phishing73.com,phishing
http://phishing74.com,phishing
http://phishing75.com,phishing
http://phishing76.com,phishing
http://phishing77.com,phishing
http://phishing78.com,phishing
http://phishing79.com,phishing
http://phishing80.com,phishing
http://phishing81.com,phishing
http://phishing82.com,phishing
http://phishing83.com,phishing
http://phishing84.com,phishing
http://phishing85.com,phishing
http://phishing86.com,phishing
http://phishing87.com,phishing
http://phishing88.com,phishing
http://phishing89.com,phishing
http://phishing90.com,phishing
http://phishing91.com,phishing
http://phishing92.com,phishing
http://phishing93.com,phishing
http://phishing94.com,phishing
http://phishing95.com,phishing
http://phishing96.com,phishing
http://phishing97.com,phishing
http://phishing98.com,phishing
http://phishing99.com,phishing
http://phishing100.com,phishing
http://phishing101.com,phishing
http://phishing102.com,phishing
http://phishing103.com,phishing
http://phishing104.com,phishing
http://phishing105.com,phishing
http://phishing106.com,phishing
http://phishing107.com,phishing
http://phishing108.com,phishing
http://phishing109.com,phishing
http://phishing110.com,phishing
http://phishing111.com,phishing
http://phishing112.com,phishing
http://phishing113.com,phishing
http://phishing114.com,phishing
http://phishing115.com,phishing
http://phishing116.com,phishing
http://phishing117.com,phishing
http://phishing118.com,phishing
http://phishing119.com,phishing
http://phishing120.com,phishing
http://phishing121.com,phishing
http://phishing122.com,phishing
http://phishing123.com,phishing
http://phishing124.com,phishing
http://phishing125.com,phishing
http://phishing126.com,phishing
http://phishing127.com,phishing
http://phishing128.com,phishing
http://phishing129.com,phishing
http://phishing130.com,phishing
http://phishing131.com,phishing
http://phishing132.com,phishing
http://phishing133.com,phishing
http://phishing134.com,phishing
http://phishing135.com,phishing
http://phishing136.com,phishing
http://phishing137.com,phishing
http://phishing138.com,phishing
http://phishing139.com,phishing
http://phishing140.com,phishing
http://phishing141.com,phishing
http://phishing142.com,phishing
http://phishing143.com,phishing
http://phishing144.com,phishing
http://phishing145.com,phishing
http://phishing146.com,phishing
http://phishing147.com,phishing
http://phishing148.com,phishing
http://phishing149.com,phishing
http://phishing150.com,phishing
http://phishing151.com,phishing
http://phishing152.com,phishing
http://phishing153.com,phishing
http://phishing154.com,phishing
http://phishing155.com,phishing
http://phishing156.com,phishing
http://phishing157.com,phishing
http://phishing158.com,phishing
http://phishing159.com,phishing
http://phishing160.com,phishing
http://phishing161.com,phishing
http://phishing162.com,phishing
http://phishing163.com,phishing
http://phishing164.com,phishing
http://phishing165.com,phishing
http://phishing166.com,phishing
http://phishing167.com,phishing
http://phishing168.com,phishing
http://phishing169.com,phishing
http://phishing170.com,phishing
http://phishing171.com,phishing
http://phishing172.com,phishing
http://phishing173.com,phishing
http://phishing174.com,phishing
http://phishing175.com,phishing
http://phishing176.com,phishing
http://phishing177.com,phishing
http://phishing178.com,phishing
http://phishing179.com,phishing
http://phishing180.com,phishing
http://phishing181.com,phishing
http://phishing182.com,phishing
http://phishing183.com,phishing
http://phishing184.com,phishing
http://phishing185.com,phishing
http://phishing186.com,phishing
http://phishing187.com,phishing
http://phishing188.com,phishing
http://phishing189.com,phishing
http://phishing190.com,phishing
http://phishing191.com,phishing
http://phishing192.com,phishing
http://phishing193.com,phishing
http://phishing194.com,phishing
http://phishing195.com,phishing
http://phishing196.com,phishing
http://phishing197.com,phishing
http://phishing198.com,phishing
http://phishing199.com,phishing
http://phishing200.com,phishing
http://phishing201.com,phishing
http://phishing202.com,phishing
http://phishing203.com,phishing
http://phishing204.com,phishing
http://phishing205.com,phishing
http://phishing206.com,phishing
http://phishing207.com,phishing
http://phishing208.com,phishing
http://phishing209.com,phishing
http://phishing210.com,phishing
http://phishing211.com,phishing
http://phishing212.com,phishing
http://phishing213.com,phishing
http://phishing214.com,phishing
http://phishing215.com,phishing
