fake_url,legit__url
http://fake1.com,https://real-site1.com
http://fake2.com,https://real-site2.com
http://fake3.com,https://real-site3.com
http://fake4.com,https://real-site4.com
http://fake5.com,https://real-site5.com
http://fake6.com,https://real-site6.com
http://fake7.com,https://real-site7.com
http://fake8.com,https://real-site8.com
http://fake9.com,https://real-site9.com
http://fake10.com,https://real-site10.com
http://fake11.com,https://real-site11.com
http://fake12.com,https://real-site12.com
http://fake13.com,https://real-site13.com
http://fake14.com,https://real-site14.com
http://fake15.com,https://real-site15.com
http://fake16.com,https://real-site16.com
http://fake17.com,https://real-site17.com
http://fake18.com,https://real-site18.com
http://fake19.com,https://real-site19.com
http://fake20.com,https://real-site20.com
http://fake21.com,https://real-site21.com
http://fake22.com,https://real-site22.com
http://fake23.com,https://real-site23.com
http://fake24.com,https://real-site24.com
http://fake25.com,https://real-site25.com
http://fake26.com,https://real-site26.com
http://fake27.com,https://real-site27.com
http://fake28.com,https://real-site28.com
http://fake29.com,https://real-site29.com
http://fake30.com,https://real-site30.com
http://fake31.com,https://real-site31.com
http://fake32.com,https://real-site32.com
http://fake33.com,https://real-site33.com
http://fake34.com,https://real-site34.com
http://fake35.com,https://real-site35.com
http://fake36.com,https://real-site36.com
http://fake37.com,https://real-site37.com
http://fake38.com,https://real-site38.com
http://fake39.com,https://real-site39.com
http://fake40.com,https://real-site40.com
http://fake41.com,https://real-site41.com
http://fake42.com,https://real-site42.com
http://fake43.com,https://real-site43.com
http://fake44.com,https://real-site44.com
http://fake45.com,https://real-site45.com
http://fake46.com,https://real-site46.com
http://fake47.com,https://real-site47.com
http://fake48.com,https://real-site48.com
http://fake49.com,https://real-site49.com
http://fake50.com,https://real-site50.com
http://fake51.com,https://real-site51.com
http://fake52.com,https://real-site52.com
http://fake53.com,https://real-site53.com
http://fake54.com,https://real-site54.com
http://fake55.com,https://real-site55.com
http://fake56.com,https://real-site56.com
http://fake57.com,https://real-site57.com
http://fake58.com,https://real-site58.com
http://fake59.com,https://real-site59.com
http://fake60.com,https://real-site60.com
http://fake61.com,https://real-site61.com
http://fake62.com,https://real-site62.com
http://fake63.com,https://real-site63.com
http://fake64.com,https://real-site64.com
http://fake65.com,https://real-site65.com
http://fake66.com,https://real-site66.com
http://fake67.com,https://real-site67.com
http://fake68.com,https://real-site68.com
http://fake69.com,https://real-site69.com
http://fake70.com,https://real-site70.com
http://fake71.com,https://real-site71.com
http://fake72.com,https://real-site72.com
http://fake73.com,https://real-site73.com
http://fake74.com,https://real-site74.com
http://fake75.com,https://real-site75.com
http://fake76.com,https://real-site76.com
http://fake77.com,https://real-site77.com
http://fake78.com,https://real-site78.com
http://fake79.com,https://real-site79.com
http://fake80.com,https://real-site80.com
http://fake81.com,https://real-site81.com
http://fake82.com,https://real-site82.com
http://fake83.com,https://real-site83.com
http://fake84.com,https://real-site84.com
http://fake85.com,https://real-site85.com
http://fake86.com,https://real-site86.com
http://fake87.com,https://real-site87.com
http://fake88.com,https://real-site88.com
http://fake89.com,https://real-site89.com
http://fake90.com,https://real-site90.com
http://fake91.com,https://real-site91.com
http://fake92.com,https://real-site92.com
http://fake93.com,https://real-site93.com
http://fake94.com,https://real-site94.com
http://fake95.com,https://real-site95.com
http://fake96.com,https://real-site96.com
http://fake97.com,https://real-site97.com
http://fake98.com,https://real-site98.com
http://fake99.com,https://real-site99.com
http://fake100.com,https://real-site100.com
http://fake101.com,https://real-site101.com
http://fake102.com,https://real-site102.com
http://fake103.com,https://real-site103.com
http://fake104.com,https://real-site104.com
http://fake105.com,https://real-site105.com
http://fake106.com,https://real-site106.com
http://fake107.com,https://real-site107.com
http://fake108.com,https://real-site108.com
http://fake109.com,https://real-site109.com
http://fake110.com,https://real-site110.com
http://fake111.com,https://real-site111.com
http://fake112.com,https://real-site112.com
http://fake113.com,https://real-site113.com
http://fake114.com,https://real-site114.com
http://fake115.com,https://real-site115.com
http://fake116.com,https://real-site116.com
http://fake117.com,https://real-site117.com
http://fake118.com,https://real-site118.com
http://fake119.com,https://real-site119.com
http://fake120.com,https://real-site120.com
http://fake121.com,https://real-site121.com
http://fake122.com,https://real-site122.com
http://fake123.com,https://real-site123.com
http://fake124.com,https://real-site124.com
http://fake125.com,https://real-site125.com
http://fake126.com,https://real-site126.com
http://fake127.com,https://real-site127.com
http://fake128.com,https://real-site128.com
http://fake129.com,https://real-site129.com
http://fake130.com,https://real-site130.com
http://fake131.com,https://real-site131.com
http://fake132.com,https://real-site132.com
http://fake133.com,https://real-site133.com
http://fake134.com,https://real-site134.com
http://fake135.com,https://real-site135.com
http://fake136.com,https://real-site136.com
http://fake137.com,https://real-site137.com
http://fake138.com,https://real-site138.com
http://fake139.com,https://real-site139.com
http://fake140.com,https://real-site140.com
http://fake141.com,https://real-site141.com
http://fake142.com,https://real-site142.com
http://fake143.com,https://real-site143.com
http://fake144.com,https://real-site144.com
http://fake145.com,https://real-site145.com
http://fake146.com,https://real-site146.com
http://fake147.com,https://real-site147.com
http://fake148.com,https://real-site148.com
http://fake149.com,https://real-site149.com
http://fake150.com,https://real-site150.com
http://fake151.com,https://real-site151.com
