url,type
https://safe-site1.com,legitimate
https://safe-site2.com,legitimate
https://safe-site3.com,legitimate
https://safe-site4.com,legitimate
https://safe-site5.com,legitimate
https://safe-site6.com,legitimate
https://safe-site7.com,legitimate
https://safe-site8.com,legitimate
https://safe-site9.com,legitimate
https://safe-site10.com,legitimate
https://safe-site11.com,legitimate
https://safe-site12.com,legitimate
https://safe-site13.com,legitimate
https://safe-site14.com,legitimate
https://safe-site15.com,legitimate
https://safe-site16.com,legitimate
https://safe-site17.com,legitimate
https://safe-site18.com,legitimate
https://safe-site19.com,legitimate
https://safe-site20.com,legitimate
https://safe-site21.com,legitimate
https://safe-site22.com,legitimate
https://safe-site23.com,legitimate
https://safe-site24.com,legitimate
https://safe-site25.com,legitimate
https://safe-site26.com,legitimate
https://safe-site27.com,legitimate
https://safe-site28.com,legitimate
https://safe-site29.com,legitimate
https://safe-site30.com,legitimate
https://safe-site31.com,legitimate
https://safe-site32.com,legitimate
https://safe-site33.com,legitimate
https://safe-site34.com,legitimate
https://safe-site35.com,legitimate
https://safe-site36.com,legitimate
https://safe-site37.com,legitimate
https://safe-site38.com,legitimate
https://safe-site39.com,legitimate
https://safe-site40.com,legitimate
https://safe-site41.com,legitimate
https://safe-site42.com,legitimate
https://safe-site43.com,legitimate
https://safe-site44.com,legitimate
https://safe-site45.com,legitimate
https://safe-site46.com,legitimate
https://safe-site47.com,legitimate
https://safe-site48.com,legitimate
https://safe-site49.com,legitimate
https://safe-site50.com,legitimate
https://safe-site51.com,legitimate
https://safe-site52.com,legitimate
https://safe-site53.com,legitimate
https://safe-site54.com,legitimate
https://safe-site55.com,legitimate
https://safe-site56.com,legitimate
https://safe-site57.com,legitimate
https://safe-site58.com,legitimate
https://safe-site59.com,legitimate
https://safe-site60.com,legitimate
https://safe-site61.com,legitimate
https://safe-site62.com,legitimate
https://safe-site63.com,legitimate
https://safe-site64.com,legitimate
https://safe-site65.com,legitimate
https://safe-site66.com,legitimate
https://safe-site67.com,legitimate
https://safe-site68.com,legitimate
https://safe-site69.com,legitimate
https://safe-site70.com,legitimate
https://safe-site71.com,legitimate
https://safe-site72.com,legitimate
https://safe-site73.com,legitimate
https://safe-site74.com,legitimate
https://safe-site75.com,legitimate
https://safe-site76.com,legitimate
https://safe-site77.com,legitimate
https://safe-site78.com,legitimate
https://safe-site79.com,legitimate
https://safe-site80.com,legitimate
https://safe-site81.com,legitimate
https://safe-site82.com,legitimate
https://safe-site83.com,legitimate
https://safe-site84.com,legitimate
https://safe-site85.com,legitimate
https://safe-site86.com,legitimate
https://safe-site87.com,legitimate
https://safe-site88.com,legitimate
https://safe-site89.com,legitimate
https://safe-site90.com,legitimate
https://safe-site91.com,legitimate
https://safe-site92.com,legitimate
https://safe-site93.com,legitimate
https://safe-site94.com,legitimate
https://safe-site95.com,legitimate
https://safe-site96.com,legitimate
https://safe-site97.com,legitimate
https://safe-site98.com,legitimate
https://safe-site99.com,legitimate
https://safe-site100.com,legitimate
https://safe-site101.com,legitimate
https://safe-site102.com,legitimate
https://safe-site103.com,legitimate
https://safe-site104.com,legitimate
https://safe-site105.com,legitimate
